,Eta,Train,Test
0,0.1,0.822450388379893,0.7524650098833043
1,0.12222222222222223,0.8291999726899533,0.754965883948972
2,0.14444444444444443,0.8322884030680325,0.7537848350160133
3,0.16666666666666666,0.8336423485823768,0.7536339614759795
4,0.18888888888888888,0.8346203773890669,0.7532230888795426
5,0.2111111111111111,0.8331854294569483,0.7539482917364775
6,0.2333333333333333,0.8335928611787111,0.753470547015355
7,0.25555555555555554,0.8324083269584137,0.7516576226436312
8,0.2777777777777778,0.8310688743862564,0.7487784842885897
9,0.3,0.8313369779984514,0.7436667502969918
