station,date,PRCP,SNOW,TMAX,TMIN
NYC,6/10/2022,0,0,77,62.96
NYC,6/11/2022,0,0,73.94,66.02
NYC,6/12/2022,0.5118110236220472,0,71.96000000000001,62.96
NYC,6/13/2022,0,0,84.92,68
NYC,6/14/2022,0,0,80.96000000000001,68
NYC,6/15/2022,0,0,82.94,66.02
NYC,6/16/2022,3.188976377952756,0,71.06,60.980000000000004
NYC,6/17/2022,0,0,87.98,69.08000000000001
NYC,6/18/2022,0,0,75.02,57.92
NYC,6/19/2022,0,0,73.03999999999999,53.96
NYC,6/20/2022,0,0,78.08000000000001,57.019999999999996
NYC,6/21/2022,0.5905511811023623,0,80.06,62.96
NYC,6/22/2022,0.1968503937007874,0,66.92,62.06
NYC,6/23/2022,0.7874015748031497,0,73.94,60.980000000000004
NYC,6/24/2022,0,0,80.96000000000001,62.96
NYC,6/25/2022,0,0,89.96000000000001,69.08000000000001
NYC,6/26/2022,0,0,89.06,73.94
NYC,6/27/2022,2.9133858267716537,0,77,69.08000000000001
NYC,6/28/2022,0,0,78.98,66.02
NYC,6/29/2022,0,0,84.02,66.02
NYC,6/30/2022,0,0,86,69.08000000000001
NYC,7/1/2022,0,0,91.03999999999999,73.03999999999999
NYC,7/2/2022,0,0,87.08000000000001,73.03999999999999
NYC,7/3/2022,0,0,87.98,73.03999999999999
NYC,7/4/2022,0,0,84.92,64.94
NYC,7/5/2022,0.9055118110236221,0,87.08000000000001,69.98
NYC,7/6/2022,0,0,84.92,71.06
NYC,7/7/2022,0,0,84.02,69.08000000000001
NYC,7/8/2022,2.4015748031496065,0,82.94,68
NYC,7/9/2022,0,0,84.92,71.06
NYC,7/10/2022,0,0,82.94,66.92
NYC,7/11/2022,0,0,84.92,66.92
NYC,7/12/2022,0,0,89.96000000000001,69.98
NYC,7/13/2022,0,0,91.03999999999999,73.94
NYC,7/14/2022,0,0,89.96000000000001,71.96000000000001
NYC,7/15/2022,0,0,86,73.03999999999999
NYC,7/16/2022,11.10236220472441,0,84.92,66.02
NYC,7/17/2022,0,0,82.94,71.06
NYC,7/18/2022,18.50393700787402,0,80.96000000000001,69.08000000000001
NYC,7/19/2022,0,0,89.96000000000001,73.03999999999999
NYC,7/20/2022,0,0,95,78.08000000000001
NYC,7/21/2022,1.6141732283464567,0,91.94,73.94
NYC,7/22/2022,0,0,93.92,78.08000000000001
NYC,7/23/2022,0,0,95,78.08000000000001
NYC,7/24/2022,0,0,95,78.98
NYC,7/25/2022,9.803149606299213,0,86,73.03999999999999
NYC,7/26/2022,0,0,80.96000000000001,71.06
NYC,7/27/2022,0,0,84.92,69.98
NYC,7/28/2022,0.1968503937007874,0,87.08000000000001,73.03999999999999
NYC,7/29/2022,0.984251969,0,84.92,71.96000000000001
NYC,7/30/2022,0,0,87.08000000000001,73.03999999999999
NYC,7/31/2022,0,0,86,71.06
NYC,8/1/2022,4.803149606299213,0,77,68
NYC,8/2/2022,0,0,89.96000000000001,71.96000000000001
NYC,8/3/2022,0,0,89.06,71.06
NYC,8/4/2022,0,0,93.02,75.92
NYC,8/5/2022,0,0,89.06,78.08000000000001
NYC,8/6/2022,0,0,91.94,77
NYC,8/7/2022,1.6141732283464567,0,91.94,75.92
NYC,8/8/2022,0,0,93.02,78.98
NYC,8/9/2022,0.31496062992125984,0,96.98,78.08000000000001
NYC,8/10/2022,0,0,87.08000000000001,75.02
NYC,8/11/2022,1.1023622047244095,0,89.06,71.96000000000001
NYC,8/12/2022,0,0,84.92,71.06
NYC,8/13/2022,0,0,78.98,64.94
NYC,8/14/2022,0,0,82.03999999999999,66.02
NYC,8/15/2022,0,0,82.94,68
NYC,8/16/2022,0,0,82.94,66.02
NYC,8/17/2022,3.3858267716535435,0,80.96000000000001,62.96
NYC,8/18/2022,0,0,87.08000000000001,62.06
NYC,8/19/2022,0,0,89.96000000000001,69.08000000000001
NYC,8/20/2022,0,0,89.96000000000001,73.94
NYC,8/21/2022,0,0,82.03999999999999,71.96000000000001
NYC,8/22/2022,2.283464566929134,0,78.98,73.03999999999999
NYC,8/23/2022,0,0,86,71.96000000000001
NYC,8/24/2022,0,0,89.96000000000001,71.06
NYC,8/25/2022,0,0,91.03999999999999,71.96000000000001
NYC,8/26/2022,2.4015748031496065,0,87.08000000000001,73.94
NYC,8/27/2022,0,0,89.96000000000001,73.94
NYC,8/28/2022,0,0,82.03999999999999,73.03999999999999
NYC,8/29/2022,0,0,84.92,75.02
NYC,8/30/2022,1.1811023622047245,0,89.06,73.03999999999999
NYC,8/31/2022,0,0,84.92,69.08000000000001
NYC,9/1/2022,0,0,86,69.08000000000001
NYC,9/2/2022,0,0,78.98,62.06
NYC,9/3/2022,0,0,82.03999999999999,64.94
NYC,9/4/2022,0,0,89.96000000000001,71.06
NYC,9/5/2022,0.5905511811023623,0,87.98,73.03999999999999
NYC,9/6/2022,7.7952755905511815,0,73.94,66.92
NYC,9/7/2022,0,0,71.96000000000001,64.94
NYC,9/8/2022,0,0,78.08000000000001,64.94
NYC,9/9/2022,0,0,80.06,62.06
NYC,9/10/2022,0,0,86,64.03999999999999
NYC,9/11/2022,3.188976377952756,0,75.92,66.92
NYC,9/12/2022,8.11023622,0,80.96000000000001,68
NYC,9/13/2022,4.094488188976378,0,82.03999999999999,68
NYC,9/14/2022,0,0,80.06,62.06
NYC,9/15/2022,0,0,73.94,62.06
NYC,9/16/2022,0,0,75.02,57.019999999999996
NYC,9/17/2022,0,0,75.92,64.03999999999999
NYC,9/18/2022,0,0,82.94,66.92
NYC,9/19/2022,1.4173228346456694,0,84.92,68
NYC,9/20/2022,0,0,78.98,66.92
NYC,9/21/2022,0,0,80.06,62.06
NYC,9/22/2022,4.685039370078741,0,75.02,57.019999999999996
NYC,9/23/2022,0,0,62.96,51.08
NYC,9/24/2022,0,0,69.08000000000001,48.92
NYC,9/25/2022,11.10236220472441,0,71.96000000000001,59
NYC,9/26/2022,0,0,73.94,57.92
NYC,9/27/2022,0,0,69.98,59
NYC,9/28/2022,0,0,69.08000000000001,53.06
NYC,9/29/2022,0,0,66.02,53.06
NYC,9/30/2022,0,0,62.06,51.980000000000004
NYC,10/1/2022,5.905511811023622,0,60.980000000000004,51.08
NYC,10/2/2022,0,0,60.08,50
NYC,10/3/2022,4.685039370078741,0,53.06,46.94
NYC,10/4/2022,18.50393700787402,0,55.040000000000006,46.04
NYC,10/5/2022,3.7007874015748032,0,59,53.96
NYC,10/6/2022,0,0,73.94,53.06
NYC,10/7/2022,0,0,75.92,57.92
NYC,10/8/2022,0.31496062992125984,0,57.92,46.94
NYC,10/9/2022,0,0,60.980000000000004,44.06
NYC,10/10/2022,0,0,66.92,51.980000000000004
NYC,10/11/2022,0,0,69.98,51.08
NYC,10/12/2022,0,0,69.98,57.019999999999996
NYC,10/13/2022,7.9921259842519685,0,69.08000000000001,53.96
NYC,10/14/2022,1.8897637795275593,0,66.92,51.980000000000004
NYC,10/15/2022,0,0,68,50
NYC,10/16/2022,0,0,64.03999999999999,51.980000000000004
NYC,10/17/2022,1.4173228346456694,0,66.02,53.06
NYC,10/18/2022,0,0,55.94,46.04
NYC,10/19/2022,0,0,53.96,42.08
NYC,10/20/2022,0,0,57.92,44.06
NYC,10/21/2022,0,0,62.06,46.04
NYC,10/22/2022,0,0,66.02,48.92
NYC,10/23/2022,0.1968503937007874,0,60.980000000000004,53.96
NYC,10/24/2022,5.196850393700788,0,60.980000000000004,55.040000000000006
NYC,10/25/2022,0,0,69.98,60.980000000000004
NYC,10/26/2022,0,0,71.96000000000001,60.08
NYC,10/27/2022,0,0,64.94,51.980000000000004
NYC,10/28/2022,0,0,55.94,44.96
NYC,10/29/2022,0,0,57.92,42.980000000000004
NYC,10/30/2022,0,0,62.96,42.980000000000004
NYC,10/31/2022,0.984251969,0,64.94,51.08
NYC,11/1/2022,0.7874015748031497,0,66.92,59
NYC,11/2/2022,0,0,69.98,53.96
NYC,11/3/2022,0,0,66.92,51.980000000000004
NYC,11/4/2022,0,0,69.98,53.06
NYC,11/5/2022,0,0,75.92,64.03999999999999
NYC,11/6/2022,0,0,75.02,66.02
NYC,11/7/2022,0,0,77,53.96
NYC,11/8/2022,0,0,57.92,46.94
NYC,11/9/2022,0,0,53.06,39.92
NYC,11/10/2022,0,0,66.02,46.94
NYC,11/11/2022,8.897637795,0,68,59
NYC,11/12/2022,0.7874015748031497,0,69.08000000000001,60.08
NYC,11/13/2022,0.3937007874015748,0,60.980000000000004,41
NYC,11/14/2022,0,0,44.96,37.04
NYC,11/15/2022,5.590551181102363,0,46.04,35.06
NYC,11/16/2022,2.7952755905511815,0,50,39.019999999999996
NYC,11/17/2022,0,0,46.04,37.04
NYC,11/18/2022,0,0,44.06,33.98
NYC,11/19/2022,0,0,39.92,31.1
NYC,11/20/2022,0,0,39.92,30.2
NYC,11/21/2022,0,0,41,27.14
NYC,11/22/2022,0,0,51.08,37.04
NYC,11/23/2022,0,0,55.040000000000006,42.08
NYC,11/24/2022,0,0,53.96,39.92
NYC,11/25/2022,0.1968503937007874,0,55.040000000000006,46.04
NYC,11/26/2022,0,0,57.019999999999996,42.08
NYC,11/27/2022,7.0078740157480315,0,60.08,48.019999999999996
NYC,11/28/2022,0,0,53.96,41
NYC,11/29/2022,0,0,44.06,35.96
NYC,11/30/2022,5,0,57.92,39.92
NYC,12/1/2022,0,0,42.980000000000004,35.06
NYC,12/2/2022,0,0,46.94,32
NYC,12/3/2022,4.881889763779528,0,57.92,44.96
NYC,12/4/2022,0,0,44.96,37.94
