,Eta,Train,Test
0,0.1,0.8334395107945788,0.688229342069145
1,0.12222222222222223,0.8368978902381947,0.6938025655515119
2,0.14444444444444443,0.837683618380189,0.7005432106622357
3,0.16666666666666666,0.8373413311964961,0.6954630115668807
4,0.18888888888888888,0.8377540284016312,0.6932948560427536
5,0.2111111111111111,0.8359423235567094,0.686490561594608
6,0.2333333333333333,0.8350093438679209,0.6872673993152604
7,0.25555555555555554,0.8331334869343867,0.6774058556670943
8,0.2777777777777778,0.8332105908326871,0.6842027856508964
9,0.3,0.8302653065917379,0.6857941589262956
