,Eta,Train,Test
0,0.1,0.7176328896043087,0.6737759697523734
1,0.12222222222222223,0.7188067630199254,0.6712079729123398
2,0.14444444444444443,0.719949792108119,0.6722541166460866
3,0.16666666666666666,0.7206395264185018,0.6703659387344374
4,0.18888888888888888,0.7176082141933966,0.6688965918666842
5,0.2111111111111111,0.7164391660510685,0.6681436533886176
6,0.2333333333333333,0.7153000113562828,0.6674944417387225
7,0.25555555555555554,0.7116835502984533,0.6619436446446625
8,0.2777777777777778,0.7089853088913408,0.6604636308638709
9,0.3,0.7065540786417388,0.6524229076978972
