store_id,Date,Total_Sales
14,10/17/2022,1473.02
14,10/18/2022,1778.97
14,10/19/2022,1528.17
14,10/20/2022,1732.64
14,10/21/2022,1478.22
14,10/22/2022,1498.99
14,10/23/2022,1419.76
14,10/24/2022,1402.79
14,10/25/2022,1614.2
14,10/26/2022,1565.43
14,10/27/2022,1798.77
14,10/28/2022,1691.75
14,10/29/2022,763.71
14,10/30/2022,1245.2
14,10/31/2022,1370.44
14,11/1/2022,1365.12
14,11/2/2022,1090.91
14,11/3/2022,1255.86
14,11/4/2022,1247.16
14,11/5/2022,1096.09
14,11/6/2022,1501.01
14,11/7/2022,1466.83
14,11/8/2022,1603.35
14,11/9/2022,1480.44
14,11/10/2022,1654.23
14,11/11/2022,1615.96
14,11/12/2022,2039.06
14,11/13/2022,1351.1
14,11/14/2022,1383.74
14,11/15/2022,1289.06
14,11/16/2022,1519.85
14,11/17/2022,1823.83
14,11/18/2022,1475.57
14,11/19/2022,1155.28
14,11/20/2022,1105.44
14,11/21/2022,1064.57
14,11/22/2022,887.2
14,11/23/2022,654.53
14,11/25/2022,336.24
14,11/26/2022,384.15
14,11/27/2022,362.88
14,11/28/2022,914.33
14,11/29/2022,1054.93
14,11/30/2022,1317.49
14,12/1/2022,1655.26
14,12/2/2022,1893.33
14,12/3/2022,705.13
14,12/4/2022,1009.54
14,12/5/2022,1286.47
14,12/6/2022,1711.33
14,12/7/2022,1000.04
14,12/8/2022,1723.83
14,12/9/2022,1219.15
14,12/10/2022,990.64
14,12/11/2022,1072.81
14,12/12/2022,1194.45
14,12/13/2022,1018.35
14,12/14/2022,1219.56
14,12/15/2022,1138.61
14,12/16/2022,876.52
14,12/17/2022,600.51
14,12/18/2022,605.98
14,12/19/2022,786.92
14,12/20/2022,720.12
14,12/21/2022,389.51
14,12/22/2022,253.79
14,12/23/2022,316.66
14,12/24/2022,266.82
14,12/26/2022,235.25
14,12/27/2022,151.78
14,12/28/2022,213.47
14,12/29/2022,124.49
14,12/30/2022,469.96
14,12/31/2022,407.42
14,1/1/2023,342.34
14,1/2/2023,181.54
14,1/3/2023,193.07
14,1/4/2023,77.75
14,1/5/2023,268.11
14,1/6/2023,411.26
14,1/7/2023,255.73
14,1/8/2023,235.55
14,1/9/2023,15.5
14,1/10/2023,572.78
14,1/11/2023,831.84
14,1/12/2023,842.26
14,1/13/2023,994.74
14,1/14/2023,485.3
14,1/15/2023,1061.3
14,1/16/2023,751.86
14,1/17/2023,976.67
14,1/18/2023,997.08
14,1/19/2023,1053.32
14,1/20/2023,1165.92
14,1/21/2023,1040.17
14,1/22/2023,803.46
14,1/23/2023,1074.96
14,1/24/2023,1430.48
14,1/25/2023,1007.69
14,1/26/2023,1434.59
14,1/27/2023,866.68
14,1/28/2023,1101.83
14,1/29/2023,904.47
14,1/30/2023,922.61
14,1/31/2023,1150.94
14,2/1/2023,1222.56
14,2/2/2023,972.33
14,2/3/2023,1273.19
14,2/4/2023,1062.42
14,2/5/2023,1093.26
14,2/6/2023,936.77
14,2/7/2023,967.47
14,2/8/2023,1418.85
14,2/9/2023,1115.29
14,2/10/2023,1980.96
14,2/11/2023,1677.51
14,2/12/2023,1964.09
14,2/13/2023,1330.95
14,2/14/2023,2473.87
14,2/15/2023,884.99
14,2/16/2023,1411
14,2/17/2023,1076.47
14,2/18/2023,1243.87
14,2/19/2023,886.63
14,2/20/2023,1190.05
14,2/21/2023,1372.61
14,2/22/2023,1242.75
14,2/23/2023,1256.56
14,2/24/2023,1035.06
14,2/25/2023,842.03
14,2/26/2023,1222.95
14,2/27/2023,377.97
14,2/28/2023,1440.8
14,3/1/2023,1612.13
14,3/2/2023,1251.76
14,3/3/2023,1367
14,3/4/2023,538.88
14,3/5/2023,172.43
14,3/6/2023,376.59
14,3/7/2023,528.45
14,3/8/2023,334.48
14,3/9/2023,591.46
14,3/10/2023,574.25
14,3/11/2023,343.02
14,3/12/2023,589.24
14,3/13/2023,919.57
14,3/14/2023,1051.21
14,3/15/2023,1264.06
14,3/16/2023,1097.99
14,3/17/2023,1171.48
14,3/18/2023,480.65
14,3/19/2023,765.14
14,3/20/2023,914.97
14,3/21/2023,989.46
14,3/22/2023,1117.95
14,3/23/2023,1170.2
14,3/24/2023,1408.74
14,3/25/2023,1381.39
14,3/26/2023,979.7
14,3/27/2023,1074.16
14,3/28/2023,1431.05
14,3/29/2023,1487.37
14,3/30/2023,1581.63
14,3/31/2023,1447.38
14,4/1/2023,864.96
14,4/2/2023,923.56
14,4/3/2023,1375.76
14,4/4/2023,1020.11
14,4/5/2023,1226.62
14,4/6/2023,1619.11
14,4/7/2023,1272.47
14,4/8/2023,749.07
14,4/9/2023,612.7
14,4/10/2023,1258.28
14,4/11/2023,1360.9
14,4/12/2023,1128.65
14,4/13/2023,1104.71
14,4/14/2023,1037.44
14,4/15/2023,944.23
14,4/16/2023,667.23
14,4/17/2023,1104.45
14,4/18/2023,1413.39
14,4/19/2023,1193.93
14,4/20/2023,1813.41
14,4/21/2023,704.33
14,4/22/2023,703.05
14,4/23/2023,743.65
14,4/24/2023,1118.23
14,4/25/2023,969.45
14,4/26/2023,1417.81
14,4/27/2023,1875.92
14,4/28/2023,1159.03
14,4/29/2023,908.25
14,4/30/2023,910.9
14,5/1/2023,768.37
14,5/2/2023,1000.49
14,5/3/2023,1263.58
14,5/4/2023,1111.65
14,5/5/2023,1226.65
14,5/6/2023,582.41
14,5/7/2023,522.6
14,5/8/2023,823.92
14,5/9/2023,835.43
14,5/10/2023,915.16
14,5/11/2023,736.47
14,5/12/2023,1161.1
14,5/13/2023,884.82
14,5/14/2023,767.45
14,5/15/2023,540.35
14,5/16/2023,455.23
14,5/17/2023,600.51
14,5/18/2023,700.66
14,5/19/2023,665.15
14,5/20/2023,141.21
14,5/21/2023,266.02
14,5/22/2023,359.56
14,5/23/2023,411.83
14,5/24/2023,327.55
14,5/25/2023,411.73
14,5/26/2023,488.32
14,5/27/2023,140.56
14,5/28/2023,190.84
14,5/29/2023,254.1
14,5/30/2023,523.7
14,5/31/2023,544.76
14,6/1/2023,672.82
14,6/2/2023,555
14,6/3/2023,359.88
14,6/4/2023,679.87
14,6/5/2023,700.1
14,6/6/2023,518.88
14,6/7/2023,796.93
14,6/8/2023,624.86
14,6/9/2023,740.71
14,6/10/2023,412.31
14,6/11/2023,106.23
14,6/12/2023,554.34
14,6/13/2023,567.09
14,6/14/2023,538.94
14,6/15/2023,968.62
14,6/16/2023,584.53
14,6/17/2023,163.11
14,6/18/2023,386.96
14,6/19/2023,255.37
14,6/20/2023,444.07
14,6/21/2023,875.51
14,6/22/2023,1112.99
14,6/23/2023,941.35
14,6/24/2023,261.43
14,6/25/2023,323.19
14,6/26/2023,626.4
14,6/27/2023,632.94
14,6/28/2023,867.89
14,6/29/2023,750.97
14,6/30/2023,960.23
14,7/1/2023,162.31
14,7/2/2023,209.67
14,7/3/2023,831.15
14,7/4/2023,239.15
14,7/5/2023,758.86
14,7/6/2023,1037.25
14,7/7/2023,888.5
14,7/8/2023,419.21
14,7/9/2023,382.04
14,7/10/2023,618.82
14,7/11/2023,700.86
14,7/12/2023,825.77
14,7/13/2023,1044.76
14,7/14/2023,1783.15
14,7/15/2023,230.69
14,7/16/2023,288.61
14,7/17/2023,1013.01
14,7/18/2023,1211.19
14,7/19/2023,922.25
14,7/20/2023,1440.45
14,7/21/2023,1548.74
14,7/22/2023,269.33
14,7/23/2023,297.88
14,7/24/2023,830.21
14,7/25/2023,786.46
14,7/26/2023,871.09
14,7/27/2023,1004.35
14,7/28/2023,937.03
14,7/29/2023,288.71
14,7/30/2023,288.89
14,7/31/2023,547.42
14,8/1/2023,790.76
14,8/2/2023,1037.66
14,8/3/2023,953.49
14,8/4/2023,1034.45
14,8/5/2023,288.94
14,8/6/2023,345.97
14,8/7/2023,448.14
14,8/8/2023,604.36
14,8/9/2023,643.87
14,8/10/2023,519.22
14,8/11/2023,801.36
14,8/12/2023,370.08
14,8/13/2023,287.22
14,8/14/2023,345.56
14,8/15/2023,635.49
14,8/16/2023,559.96
14,8/17/2023,462.11
14,8/18/2023,692.91
14,8/19/2023,441.22
14,8/20/2023,201.57
14,8/21/2023,489.78
14,8/22/2023,819.51
14,8/23/2023,604.92
