store_id,Date,Total_Sales,Free Delivery_Require Purchase,Free Delivery_Product,Free Delivery_Promo_Active,Overall Discount_Require Purchase,Overall Discount_Product,Overall Discount_Promo_Active,Product Discount_Require Purchase,Product Discount_Product,Product Discount_Promo_Active,Free Product_Require Purchase,Free Product_Product,Free Product_Promo_Active,Points Bonus_Require Purchase,Points Bonus_Product,Points Bonus_Promo_Active
14,2024-05-12,431.92,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-13,605.49,,,0,,,0,,,0,,,0,,,0
14,2024-05-14,566.03,,,0,,,0,,,0,,,0,,,0
14,2024-05-15,604.8,,,0,,,0,,,0,No,Chocolate Chunk,1,,,0
14,2024-05-16,774.03,,,0,,,0,,,0,,,0,,,0
14,2024-05-17,967.08,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-18,672.25,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-19,526.92,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-20,678.72,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-21,447.43,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-22,635.62,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-23,370.78,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-24,342.18,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-25,234.32,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-26,247.66,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-27,145.2,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-28,463.53,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-29,204.34,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-30,510.21,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-05-31,487.75,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-01,214.26,,,0,,,0,,,0,,,0,,,0
14,2024-06-02,168.67,,,0,,,0,,,0,,,0,,,0
14,2024-06-03,324.83,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-04,675.31,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-05,569.23,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-06,760.68,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-07,567.24,,,0,Yes,All,1,,,0,,,0,No,Points,1
14,2024-06-08,390.61,,,0,Yes,All,1,,,0,,,0,No,Points,1
14,2024-06-09,538.07,,,0,Yes,All,1,,,0,,,0,No,Points,1
14,2024-06-10,661.77,,,0,,,0,,,0,,,0,,,0
14,2024-06-11,1056.68,,,0,,,0,,,0,,,0,,,0
14,2024-06-12,860.59,,,0,,,0,,,0,No,PB Chip,1,,,0
