,Eta,Train,Test
0,0.1,0.7048706912851143,0.6719249038138005
1,0.12222222222222223,0.7084878161502088,0.6751193341362849
2,0.14444444444444443,0.7102717788463445,0.6774592424959133
3,0.16666666666666666,0.7112135507147158,0.6784679488878392
4,0.18888888888888888,0.7129701867552833,0.6792281127416898
5,0.2111111111111111,0.7145785783914858,0.6740052810685477
6,0.2333333333333333,0.7137571662717628,0.6756100865388704
7,0.25555555555555554,0.7131334209318702,0.6753523119662461
8,0.2777777777777778,0.7101104123803469,0.6708478661239258
9,0.3,0.7072901705900694,0.6661742749477402
